participant_id,included_main_analysis,original_involvement_response,final_independence_status,duration_minutes,criteria_understandable,note
P01,false,Ja,involved_test_response_excluded,1.68,Ja,Testdatensatz; einzige an Entwicklung/Erstbewertung beteiligte Person.
P02,true,Nein,independent,2.12,Ja,
P03,true,Ja,independent_after_clarification,21.25,Ja,"Originalantwort ""Ja""; nach Klärung keine Beteiligung, daher eingeschlossen."
P04,true,Nein,independent,2.68,Ja,
P05,true,Nein,independent,2.10,Ja,
P06,true,Ja,independent_after_clarification,2.07,Ja,"Originalantwort ""Ja""; nach Klärung keine Beteiligung, daher eingeschlossen."
P07,true,Ja,independent_after_clarification,2.53,Ja,"Originalantwort ""Ja""; nach Klärung keine Beteiligung, daher eingeschlossen."
P08,true,Nein,independent,6.45,Ja,
P09,true,Nein,independent,2.57,Ja,
P10,true,Nein,independent,19.17,Ja,
P11,true,Nein,independent,37.92,Ja,
P12,true,Nein,independent,6.62,Teilweise,
P13,true,Nein,independent,29.07,Teilweise,
P14,true,Nein,independent,9.47,Ja,
P15,true,Nein,independent,6.65,Ja,
