participant_id,included_main_analysis,scenario_id,scenario,variant,approach,criterion,criterion_label,score
P01,false,UC1,Onboarding-Lernpfad,A,Regelbasierter Ansatz,task_decomposition,Strukturierung / Aufgabenzerlegung,0
P01,false,UC1,Onboarding-Lernpfad,A,Regelbasierter Ansatz,professional_quality,Fachliche Sinnhaftigkeit,1
P01,false,UC1,Onboarding-Lernpfad,A,Regelbasierter Ansatz,privacy_roles_rights,"Datenschutz, Rollen und Rechte",2
P01,false,UC1,Onboarding-Lernpfad,A,Regelbasierter Ansatz,uncertainty_handling,Umgang mit Unsicherheit,1
P01,false,UC1,Onboarding-Lernpfad,A,Regelbasierter Ansatz,human_in_the_loop,Human-in-the-loop,1
P01,false,UC1,Onboarding-Lernpfad,A,Regelbasierter Ansatz,traceability,Nachvollziehbarkeit,1
P01,false,UC1,Onboarding-Lernpfad,B,Multi-Agent-Prototyp,task_decomposition,Strukturierung / Aufgabenzerlegung,2
P01,false,UC1,Onboarding-Lernpfad,B,Multi-Agent-Prototyp,professional_quality,Fachliche Sinnhaftigkeit,2
P01,false,UC1,Onboarding-Lernpfad,B,Multi-Agent-Prototyp,privacy_roles_rights,"Datenschutz, Rollen und Rechte",2
P01,false,UC1,Onboarding-Lernpfad,B,Multi-Agent-Prototyp,uncertainty_handling,Umgang mit Unsicherheit,2
P01,false,UC1,Onboarding-Lernpfad,B,Multi-Agent-Prototyp,human_in_the_loop,Human-in-the-loop,2
P01,false,UC1,Onboarding-Lernpfad,B,Multi-Agent-Prototyp,traceability,Nachvollziehbarkeit,2
P01,false,UC1,Onboarding-Lernpfad,C,Zentralisierter Einzelagent,task_decomposition,Strukturierung / Aufgabenzerlegung,0
P01,false,UC1,Onboarding-Lernpfad,C,Zentralisierter Einzelagent,professional_quality,Fachliche Sinnhaftigkeit,1
P01,false,UC1,Onboarding-Lernpfad,C,Zentralisierter Einzelagent,privacy_roles_rights,"Datenschutz, Rollen und Rechte",0
P01,false,UC1,Onboarding-Lernpfad,C,Zentralisierter Einzelagent,uncertainty_handling,Umgang mit Unsicherheit,0
P01,false,UC1,Onboarding-Lernpfad,C,Zentralisierter Einzelagent,human_in_the_loop,Human-in-the-loop,1
P01,false,UC1,Onboarding-Lernpfad,C,Zentralisierter Einzelagent,traceability,Nachvollziehbarkeit,0
P01,false,UC2,Kursanpassung nach Testergebnissen,A,Zentralisierter Einzelagent,task_decomposition,Strukturierung / Aufgabenzerlegung,0
P01,false,UC2,Kursanpassung nach Testergebnissen,A,Zentralisierter Einzelagent,professional_quality,Fachliche Sinnhaftigkeit,1
P01,false,UC2,Kursanpassung nach Testergebnissen,A,Zentralisierter Einzelagent,privacy_roles_rights,"Datenschutz, Rollen und Rechte",2
